SITE,FD,SU,GSL,R10MM,R20MM,RX5DAY,SDII,DROUGHTLEN
3_51_59_63,90.16129032258064,123.54838709677419,290.16129032258067,42.774193548387096,16.129032258064516,123.95225806451613,11.078948551030766,30.258064516129032
3_51_9_45,100.64516129032258,129.61290322580646,297.80645161290323,42.516129032258064,16.258064516129032,111.08806451612907,11.35144186952524,29
3_51_9_73,98,131.96774193548387,297.61290322580646,43.87096774193548,16.677419354838708,111.26,12.077185483374414,29.225806451612904
3_51_9_74,97.93548387096774,132.7741935483871,299.5806451612903,43.83870967741935,16.096774193548388,112.96709677419355,11.683170237937324,29.193548387096776
4_51_161_42,91.96774193548387,134.2258064516129,300,36.96774193548387,14.419354838709678,114.90419354838711,9.963119896995448,33.41935483870968
4_51_161_66,115.19354838709677,90.90322580645162,281.51612903225805,44.225806451612904,16.806451612903224,132.8725806451613,10.866706507043583,28.580645161290324
4_51_163_25,107.48387096774194,125.06451612903226,293.5806451612903,40.774193548387096,15.451612903225806,112.09322580645161,10.82328662094261,27.580645161290324
4_51_165_148,117.29032258064517,113.09677419354838,276.4193548387097,37.935483870967744,12.387096774193548,98.17290322580645,9.625801908480483,34.193548387096776
4_51_165_21,115.35483870967742,113.51612903225806,277.4516129032258,39.193548387096776,13.387096774193548,107.77322580645162,10.074644414361439,34
4_51_171_79,121.25806451612904,109.48387096774194,267.64516129032256,41.354838709677416,13.709677419354838,106.35322580645162,10.50394550050706,30.612903225806452
5_51_121_14,108.35483870967742,111.48387096774194,285.5483870967742,36.70967741935484,13.290322580645162,101.34645161290325,9.825482450466863,29.677419354838708
5_51_121_34,104.09677419354838,117.90322580645162,290.96774193548384,37.03225806451613,13.419354838709678,107.09129032258066,9.691394390358543,30.06451612903226
5_51_167_73,115.83870967741936,111.58064516129032,279.38709677419354,44.29032258064516,13.32258064516129,87.84580645161289,9.211405394544897,23.516129032258064
5_51_169_89,96.03225806451613,122.83870967741936,302.64516129032256,50.354838709677416,13.903225806451612,101.17645161290324,9.83095211561009,23.096774193548388
5_51_173_25,119.16129032258064,109.7741935483871,280.3225806451613,43.58064516129032,12.774193548387096,88.40258064516125,8.908889293864831,24.258064516129032
5_51_35_46,115.35483870967742,105.03225806451613,283.5806451612903,39.774193548387096,14.35483870967742,107.77612903225807,10.121960836599694,28.806451612903224
5_51_51_27,107.35483870967742,120.90322580645162,293.0967741935484,45.74193548387097,14.32258064516129,92.54935483870968,9.308062461293233,25.322580645161292
5_51_51_41,106.19354838709677,116.25806451612904,288.7741935483871,49.41935483870968,16.161290322580644,97.51741935483872,9.920340676994003,23.419354838709676
1_48_199_32,13.258064516129032,218.19354838709677,363.4516129032258,48.54838709677419,24.161290322580644,209.56129032258062,16.3008720879082,29.032258064516128
1_48_199_44,11.451612903225806,218.4516129032258,363.64516129032256,49.25806451612903,23.741935483870968,217.561935483871,16.557039419412305,29.451612903225808
1_48_199_45,14.935483870967742,218.3548387096774,363.2258064516129,47.38709677419355,24.451612903225808,205.04838709677418,16.503565482664595,29.70967741935484
1_48_199_47,12.903225806451612,219.58064516129033,363.38709677419354,49.903225806451616,24.258064516129032,218.1264516129032,16.55867467022809,30.419354838709676
1_48_199_58,10.03225806451613,217.6451612903226,363.64516129032256,49.096774193548384,24.096774193548388,222.42999999999998,16.561873785786016,29.483870967741936
1_48_199_8,11.419354838709678,218.03225806451613,363.38709677419354,49.74193548387097,24.193548387096776,224.9593548387097,16.689731860163025,30.193548387096776
1_48_199_84,14.35483870967742,220.38709677419354,363.2258064516129,49.645161290322584,23.93548387096774,209.61354838709676,16.32742641720328,29.967741935483872
1_48_199_9,13.35483870967742,218.51612903225808,363.4516129032258,47.645161290322584,24,209.2458064516129,16.358416068346127,29.451612903225808
1_48_225_95,23.64516129032258,209.5483870967742,360,41.935483870967744,21.741935483870968,147.22967741935483,15.785818861977402,38.41935483870968
1_48_291_129,9.838709677419354,217.80645161290323,363.64516129032256,50.83870967741935,23.419354838709676,221.3774193548387,16.395849923097337,28.516129032258064
1_48_291_25,11.516129032258064,218.80645161290323,363.4193548387097,43.61290322580645,22.580645161290324,217.20000000000002,16.72783395699633,31.677419354838708
1_48_291_38,15.32258064516129,219.25806451612902,363.03225806451616,47.32258064516129,22.258064516129032,201.72870967741935,16.06938970108458,30.774193548387096
1_48_291_58,7.290322580645161,215.90322580645162,363.7096774193548,47.193548387096776,23.903225806451612,225.12774193548384,16.606076279783117,33.58064516129032
1_48_291_62,13.03225806451613,219.1290322580645,363.19354838709677,42.935483870967744,22.419354838709676,214.5551612903226,16.460944209770318,31.64516129032258
1_48_291_85,9.709677419354838,218.32258064516128,363.64516129032256,48.806451612903224,23.516129032258064,228.8432258064516,16.606759559930385,30.483870967741936
1_48_313_48,22.322580645161292,217.1290322580645,360.6774193548387,39.29032258064516,18.838709677419356,150.27967741935484,15.564131814702687,44.225806451612904
1_48_373_44,18.838709677419356,218.41935483870967,362.1290322580645,42.54838709677419,20.806451612903224,174.49645161290323,15.489437012403545,33.96774193548387
1_48_373_59,19.93548387096774,215.38709677419354,362.06451612903226,48.54838709677419,22.967741935483872,183.59096774193546,15.77598170772872,29.387096774193548
